stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1108,TI-07,羽生,,36.17007,139.53403,1108,,0,,,
1109,TI-08,川俣,,36.20888,139.52651,1109,,0,,,
1110,TI-09,茂林寺前,,36.22635,139.52705,1110,,0,,,
1111,TI-10,館林,,36.24662,139.52781,1111,,0,,,
1112,TI-11,多々良,,36.27368,139.50032,1112,,0,,,
1113,TI-12,県,,36.29062,139.47236,1113,,0,,,
1114,TI-13,福居,,36.30521,139.45867,1114,,0,,,
1115,TI-14,東武和泉,,36.31565,139.45509,1115,,0,,,
1116,TI-15,足利市,,36.32944,139.44818,1116,,0,,,
1117,TI-16,野州山辺,,36.32629,139.43201,1117,,0,,,
1118,TI-17,韮川,,36.30822,139.40251,1118,,0,,,
1119,TI-18,太田,,36.29421,139.37877,1119,,0,,,
1120,TI-19,細谷,,36.28297,139.34899,1120,,0,,,
1121,TI-20,木崎,,36.27139,139.31300,1121,,0,,,
1122,TI-21,世良田,,36.27294,139.28197,1122,,0,,,
1123,TI-22,境町,,36.27716,139.25626,1123,,0,,,
1124,TI-23,剛志,,36.29542,139.22388,1124,,0,,,
1125,TI-24,新伊勢崎,,36.31809,139.20182,1125,,0,,,
1126,TI-25,伊勢崎,,36.32642,139.19495,1126,,0,,,
1201,TS-13,西新井,,35.77728,139.79037,1201,,0,,,
1202,TS-51,大師前,,35.77895,139.78165,1202,,0,,,
1301,TS-04,曳舟,,35.71851,139.81667,1301,,0,,,
1302,TS-41,小村井,,35.71032,139.82761,1302,,0,,,
1303,TS-42,東あずま,,35.70738,139.83160,1303,,0,,,
1304,TS-43,亀戸水神,,35.69994,139.83339,1304,,0,,,
1305,TS-44,亀戸,,35.69773,139.82720,1305,,0,,,
1401,TI-10,館林,,36.24662,139.52781,1401,,0,,,
1402,TI-31,渡瀬,,36.26184,139.53748,1402,,0,,,
1403,TI-32,田島,,36.29022,139.56491,1403,,0,,,
1404,TI-33,佐野市,,36.30624,139.57590,1404,,0,,,
1405,TI-34,佐野,,36.31684,139.57913,1405,,0,,,
1406,TI-35,堀米,,36.32844,139.58033,1406,,0,,,
1407,TI-36,吉水,,36.34562,139.57935,1407,,0,,,
1408,TI-37,田沼,,36.36707,139.58191,1408,,0,,,
1409,TI-38,多田,,36.37808,139.59296,1409,,0,,,
1410,TI-39,葛生,,36.39788,139.60928,1410,,0,,,
1501,TI-10,館林,,36.24662,139.52781,1501,,0,,,
1502,TI-41,成島,,36.24908,139.50557,1502,,0,,,
1503,TI-42,本中野,,36.25845,139.46954,1503,,0,,,
1504,TI-43,篠塚,,36.25681,139.44609,1504,,0,,,
1505,TI-44,東小泉,,36.25972,139.42856,1505,,0,,,
1506,TI-45,小泉町,,36.26153,139.42025,1506,,0,,,
1507,TI-46,西小泉,,36.25866,139.40851,1507,,0,,,
1508,TI-47,竜舞,,36.27885,139.40910,1508,,0,,,
1509,TI-18,太田,,36.29421,139.37877,1509,,0,,,
1601,TI-18,太田,,36.29421,139.37877,1601,,0,,,
1602,TI-51,三枚橋,,36.31340,139.35497,1602,,0,,,
1603,TI-52,治良門橋,,36.33302,139.34137,1603,,0,,,
1604,TI-53,藪塚,,36.35872,139.31582,1604,,0,,,
1605,TI-54,阿左美,,36.38509,139.30653,1605,,0,,,
1606,TI-55,新桐生,,36.39505,139.32009,1606,,0,,,
1607,TI-56,相老,,36.41064,139.30392,1607,,0,,,
1608,TI-57,赤城,,36.42562,139.27678,1608,,0,,,
1701,TS-30,東武動物公園,,36.02470,139.72689,1701,,0,,,
1702,TN-01,杉戸高野台,,36.05135,139.71454,1702,,0,,,
1703,TN-02,幸手,,36.07407,139.71491,1703,,0,,,
1704,TN-03,南栗橋,,36.11314,139.71283,1704,,0,,,
1705,TN-04,栗橋,,36.13785,139.69403,1705,,0,,,
1706,TN-05,新古河,,36.19270,139.68702,1706,,0,,,
1707,TN-06,柳生,,36.20659,139.65995,1707,,0,,,
1708,TN-07,板倉東洋大前,,36.22220,139.64862,1708,,0,,,
1709,TN-08,藤岡,,36.25559,139.64560,1709,,0,,,
1710,TN-09,静和,,36.31653,139.68493,1710,,0,,,
1711,TN-10,新大平下,,36.33897,139.70187,1711,,0,,,
1712,TN-11,栃木,,36.37167,139.73149,1712,,0,,,
1713,TN-12,新栃木,,36.39006,139.74235,1713,,0,,,
1714,TN-13,合戦場,,36.40758,139.74102,1714,,0,,,
1715,TN-14,家中,,36.42979,139.74745,1715,,0,,,
1716,TN-15,東武金崎,,36.46630,139.74948,1716,,0,,,
1717,TN-16,楡木,,36.50688,139.74527,1717,,0,,,
1718,TN-17,樅山,,36.53333,139.74174,1718,,0,,,
1719,TN-18,新鹿沼,,36.55683,139.74478,1719,,0,,,
1720,TN-19,北鹿沼,,36.58068,139.73776,1720,,0,,,
1721,TN-20,板荷,,36.61940,139.70778,1721,,0,,,
1722,TN-21,下小代,,36.65111,139.71395,1722,,0,,,
1723,TN-22,明神,,36.67656,139.71221,1723,,0,,,
1724,TN-23,下今市,,36.72560,139.69277,1724,,0,,,
1725,TN-24,上今市,,36.72801,139.68086,1725,,0,,,
1726,TN-25,東武日光,,36.74809,139.61993,1726,,0,,,
1801,TN-12,新栃木,,36.39006,139.74235,1801,,0,,,
1802,TN-31,野州平川,,36.40156,139.75378,1802,,0,,,
1803,TN-32,野州大塚,,36.40877,139.77259,1803,,0,,,
1804,TN-33,壬生,,36.42243,139.80501,1804,,0,,,
1805,TN-34,国谷,,36.45145,139.82385,1805,,0,,,
1806,TN-35,おもちゃのまち,,36.46674,139.82954,1806,,0,,,
1807,TN-36,安塚,,36.48565,139.83562,1807,,0,,,
1808,TN-37,西川田,,36.51425,139.85030,1808,,0,,,
1809,TN-38,江曽島,,36.53096,139.86082,1809,,0,,,
1810,TN-39,南宇都宮,,36.54371,139.87195,1810,,0,,,
1811,TN-40,東武宇都宮,,36.55866,139.88060,1811,,0,,,
1901,TN-23,下今市,,36.72560,139.69277,1901,,0,,,
1902,TN-51,大谷向,,36.73228,139.69194,1902,,0,,,
1903,TN-52,大桑,,36.76082,139.71358,1903,,0,,,
1904,TN-53,新高徳,,36.77977,139.71071,1904,,0,,,
1905,TN-54,小佐越,,36.80224,139.70650,1905,,0,,,
1906,TN-55,東武ワールドスクウェア,,36.80833,139.70889,1906,,0,,,
1907,TN-56,鬼怒川温泉,,36.82252,139.71668,1907,,0,,,
1908,TN-57,鬼怒川公園,,36.84158,139.72282,1908,,0,,,
1909,TN-58,新藤原,,36.85246,139.73301,1909,,0,,,
2001,TD-01,大宮,,35.90775,139.62425,2001,,0,,,
2002,TD-02,北大宮,,35.91794,139.62481,2002,,0,,,
2003,TD-03,大宮公園,,35.92388,139.63308,2003,,0,,,
