route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
11,1,112F0755S,久喜,,0,102F0755S,,,
11,1,112F0769S,久喜,,0,102F0769S,,,
11,1,112F0862T,久喜,,0,102F0862T,,,
11,1,112F0864T,久喜,,0,102F0864T,,,
11,1,112F0877S,久喜,,0,102F0877S,,,
11,1,112F0963S,久喜,,0,102F0963S,,,
11,1,112F0968T,久喜,,0,102F0968T,,,
11,1,112F0980T,久喜,,0,102F0980T,,,
11,1,112F1001K,久喜,,0,102F1001K,,,
11,1,112F1004K,久喜,,0,102F1004K,,,
11,1,112F1057S,久喜,,0,102F1057S,,,
11,1,112F1110K,久喜,,0,102F1110K,,,
11,1,112F1154T,久喜,,0,102F1154T,,,
11,1,112F1182T,久喜,,0,102F1182T,,,
11,1,112F1211K,久喜,,0,102F1211K,,,
11,1,112F1213K,久喜,,0,102F1213K,,,
11,1,112F1221K,久喜,,0,102F1221K,,,
11,1,112F1302K,久喜,,0,102F1302K,,,
11,1,112F1350T,久喜,,0,102F1350T,,,
11,1,112F1407K,久喜,,0,102F1407K,,,
11,1,112F1417K,久喜,,0,102F1417K,,,
11,1,112F1418K,久喜,,0,102F1418K,,,
11,1,112F1512K,久喜,,0,102F1512K,,,
11,1,112F1514K,久喜,,0,102F1514K,,,
11,1,112F1565S,久喜,,0,102F1565S,,,
11,1,112F1601K,久喜,,0,102F1601K,,,
11,1,112F1608K,久喜,,0,102F1608K,,,
11,1,112F1654T,久喜,,0,102F1654T,,,
11,1,112F1676T,久喜,,0,102F1676T,,,
11,1,112F1751S,久喜,,0,102F1751S,,,
11,1,112F1773S,久喜,,0,102F1773S,,,
11,1,112F1774T,久喜,,0,102F1774T,,,
11,1,112F1870T,久喜,,0,102F1870T,,,
11,1,112F1972T,久喜,,0,102F1972T,,,
11,1,112F4756T,久喜,,0,102F4756T,,,
11,1,112F4906K,久喜,,0,102F4906K,,,
11,1,11300302E,館林,,1,,,,
11,1,11300304E,館林,,1,,,,
11,1,11300306E,館林,,1,,,,
11,1,11300308E,館林,,1,,,,
11,1,11300310E,館林,,1,,,,
11,1,11300312E,館林,,1,,,,
11,1,11300314E,館林,,1,,,,
11,1,11300316E,館林,,1,,,,
11,1,11300318E,館林,,1,,,,
11,1,11300320E,館林,,1,,,,
11,1,11300322E,館林,,1,,,,
11,1,11300324E,館林,,1,,,,
11,1,11300326E,館林,,1,,,,
11,1,11300328E,館林,,1,,,,
11,1,11300330E,館林,,1,,,,
11,1,11300332E,館林,,1,,,,
11,1,11300334E,館林,,1,,,,
11,1,11300336E,館林,,1,,,,
11,1,11300338E,館林,,1,,,,
11,1,11300340E,館林,,1,,,,
11,1,11300342E,館林,,1,,,,
11,1,11300344E,館林,,1,,,,
11,1,11300346E,館林,,1,,,,
11,1,11300348E,館林,,1,,,,
11,1,11300350E,館林,,1,,,,
11,1,11300352E,館林,,1,,,,
11,1,11300354E,館林,,1,,,,
11,1,11300356E,館林,,1,,,,
11,1,11300358E,館林,,1,,,,
11,1,11300360E,館林,,1,,,,
11,1,11300362E,館林,,1,,,,
11,1,11300364E,館林,,1,,,,
11,1,11300366E,館林,,1,,,,
11,1,11300368E,太田,,1,,,,
11,1,11300370E,館林,,1,,,,
11,1,11300372E,館林,,1,,,,
11,1,11300374E,太田,,1,,,,
11,1,11300402E,館林,,1,,,,
11,1,11300404E,館林,,1,,,,
11,1,11300406E,館林,,1,,,,
11,1,11300408E,館林,,1,,,,
11,1,11300410E,館林,,1,,,,
11,1,11300412E,館林,,1,,,,
11,1,11300414E,館林,,1,,,,
11,1,11300416E,館林,,1,,,,
11,1,11300418E,館林,,1,,,,
11,1,113005020,東武動物公園,,1,,,,
11,1,113005040,久喜,,1,,,,
11,1,113005060,東武動物公園,,1,,,,
11,1,113005080,東武動物公園,,1,,,,
11,1,113005100,久喜,,1,,,,
11,1,113005120,久喜,,1,,,,
11,1,113005140,久喜,,1,,,,
11,1,113005160,久喜,,1,,,,
11,1,113005180,久喜,,1,,,,
11,1,113005200,久喜,,1,,,,
11,1,113005220,久喜,,1,,,,
11,1,113005240,久喜,,1,,,,
11,1,113005260,久喜,,1,,,,
11,1,113005280,久喜,,1,,,,
11,1,113005300,久喜,,1,,,,
11,1,113005320,久喜,,1,,,,
11,1,113005340,久喜,,1,,,,
11,1,113005360,久喜,,1,,,,
11,1,113005380,久喜,,1,,,,
11,1,113005400,久喜,,1,,,,
11,1,113005420,久喜,,1,,,,
11,1,113005440,久喜,,1,,,,
11,1,113005460,久喜,,1,,,,
11,1,113005480,久喜,,1,,,,
11,1,113005500,久喜,,1,,,,
11,1,113005520,久喜,,1,,,,
11,1,113005540,久喜,,1,,,,
11,1,113005560,久喜,,1,,,,
11,1,113005580,久喜,,1,,,,
11,1,113005600,久喜,,1,,,,
11,1,113005620,久喜,,1,,,,
11,1,113005640,久喜,,1,,,,
11,1,113005660,久喜,,1,,,,
11,1,113005680,久喜,,1,,,,
11,1,113005700,久喜,,1,,,,
11,1,113005720,久喜,,1,,,,
11,1,113005740,久喜,,1,,,,
11,1,113005760,久喜,,1,,,,
11,1,113005780,東武動物公園,,1,,,,
11,1,113005800,久喜,,1,,,,
11,1,113005820,東武動物公園,,1,,,,
11,1,113013100,浅草,,1,113013100,,,
11,1,113014040,浅草,,1,113014040,,,
11,1,113014320,浅草,,1,113014320,,,
11,1,113014360,浅草,,1,113014360,,,
11,1,113014400,浅草,,1,113014400,,,
11,1,113014440,浅草,,1,113014440,,,
11,1,113014480,浅草,,1,113014480,,,
11,1,113015020,浅草,,1,113015020,,,
11,1,113016120,浅草,,1,143016120,,,
11,1,113018060,浅草,,1,163018060,,,
11,1,113018080,浅草,,1,163018080,,,
11,1,113018140,浅草,,1,163018140,,,
11,1,113018160,浅草,,1,163018160,,,
11,1,113018180,浅草,,1,163018180,,,
11,1,113018200,浅草,,1,163018200,,,
11,1,113018220,浅草,,1,163018220,,,
11,1,113018240,浅草,,1,163018240,,,
11,1,113018260,浅草,,1,163018260,,,
11,1,113018280,浅草,,1,163018280,,,
11,1,113018300,浅草,,1,163018300,,,
11,1,113018340,浅草,,1,163018340,,,
11,1,113018380,浅草,,1,163018380,,,
11,1,113018420,浅草,,1,163018420,,,
11,1,113018460,浅草,,1,163018460,,,
11,1,113018500,浅草,,1,163018500,,,
11,1,113025020,浅草,,1,113025020,,,
11,1,113025040,浅草,,1,113025040,,,
11,1,113025060,浅草,,1,113025060,,,
11,1,113025080,浅草,,1,113025080,,,
11,1,113025100,浅草,,1,113025100,,,
11,1,113025120,浅草,,1,113025120,,,
11,1,113025140,浅草,,1,113025140,,,
11,1,113025160,浅草,,1,113025160,,,
11,1,113025180,浅草,,1,113025180,,,
11,1,113025200,浅草,,1,113025200,,,
11,1,113025220,浅草,,1,113025220,,,
11,1,113025240,浅草,,1,113025240,,,
11,1,113025260,浅草,,1,113025260,,,
11,1,113025280,浅草,,1,113025280,,,
11,1,113025300,浅草,,1,113025300,,,
11,1,113035020,浅草,,1,113035020,,,
11,1,113035040,浅草,,1,113035040,,,
11,1,113035060,浅草,,1,113035060,,,
11,1,113A4845T,恵比寿,,1,113A4845T,,,
11,1,113A4947T,恵比寿,,1,113A4947T,,,
11,1,113E1056T,中央林間,,1,113E1056T,,,
